	ID	Review	Topic_number	Topic_name
0	1	brilliant a brilliant app that is challenging but great fun the only thing i think could be better is if they grouped each difficulty together other than that its fantastic and i love playing it	2	Functional Stability
1	2	good i have gotten several updates and new games help out alot	2	Functional Stability
2	3	i love it if u dont spend no money youll have fun any way	2	Functional Stability
3	4	walter mofokeng	2	Functional Stability
4	5	best emojis ever ive tried just about all of these emojis and this collection is by far the best	2	Functional Stability
5	6	animal hair salon this is the best game my niece ever had she learn how to use clipers so she can cut her cousin hair	2	Functional Stability
6	7	brilliant i think coin dozer is absolutely necessary for children amazing but it would let u down if u lost a massive coin but all together its awesome	2	Functional Stability
7	15	clever addicting a nice way to pass the time	2	Functional Stability
8	8	well worth it in my first week home with my newborn this app has really helped me kee track of feedings and diapers	1	Safety and Security
9	10	awwwwsome this app is freaken amazing good work great graphicsjust anopinion you should add the f or a gun related to the gc it would be awesome to see those weapons in weaphone action	1	Safety and Security
10	11	nice speed and easy to use thanks to xender team for concern happy to see password sending or receivingbut better will be that prompt for which device is going to join group	1	Safety and Security
11	12	helped alot i have an utraclassic my speedometer went out and i needed to keep track of my speed and mileage i found this app and it really helped me as i traveled from pa to az thank you	1	Safety and Security
12	9	great ui even better routing this app knows london like no other and the striker busting mode works very well	3	Ease of Use
13	13	easy and accurate so far its worked every time i used it not a lot of bells and whistles to get in the way nice and neat	3	Ease of Use
14	14	a truly awsome game this is by far the best slot game available on the google play store i highly recommend it any problems ive ever encountered has been resolved with in hoursthanks for the great support and especially to anitayour awsome	3	Ease of Use
15	16	great free fun this game is great it is fun easy to use does not crash the only drawback is that my  year old son runs off with phone all the time galaxy s	3	Ease of Use
